age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,is_success
28,unemployed,single,tertiary,no,0,yes,no,cellular,5,may,125,2,-1,0,,no
23,blue-collar,married,secondary,no,94,yes,no,cellular,5,may,193,1,-1,0,,no
32,technician,single,secondary,no,0,yes,no,cellular,5,may,136,1,-1,0,,no
43,services,single,,no,0,no,no,cellular,5,may,73,1,-1,0,,no
32,blue-collar,married,secondary,no,517,yes,no,cellular,5,may,528,1,-1,0,,no
46,blue-collar,married,secondary,no,265,yes,no,cellular,5,may,541,1,-1,0,,no
53,housemaid,divorced,primary,no,947,yes,no,cellular,5,may,163,1,-1,0,,no
34,self-employed,single,secondary,no,3,yes,no,cellular,5,may,301,1,-1,0,,no
57,unemployed,married,tertiary,no,42,no,no,cellular,5,December,46,1,-1,0,,no
37,blue-collar,married,secondary,no,37,yes,no,cellular,5,may,204,1,-1,0,,no
59,blue-collar,married,secondary,no,57,yes,no,cellular,5,may,98,1,-1,0,,no
33,services,married,secondary,no,22,yes,no,cellular,5,may,71,1,-1,0,,no
56,blue-collar,divorced,primary,no,8,yes,no,cellular,5,may,157,2,-1,0,,no
48,unemployed,married,secondary,no,293,yes,no,cellular,5,may,243,1,-1,0,,no
43,services,married,primary,no,3,yes,no,cellular,5,may,186,2,-1,0,,no
54,blue-collar,married,primary,no,348,yes,no,cellular,5,may,579,2,-1,0,,no
51,blue-collar,married,,no,-19,yes,no,cellular,5,may,163,2,-1,0,,no
26,student,single,secondary,no,0,yes,no,cellular,5,may,610,2,-1,0,,no
40,management,married,tertiary,no,-4,yes,no,cellular,5,may,2033,1,-1,0,,no
39,management,married,secondary,no,18,yes,no,cellular,5,may,85,1,-1,0,,no
50,technician,married,primary,no,139,no,no,cellular,5,may,114,2,-1,0,,no
41,services,married,secondary,no,0,yes,no,cellular,5,may,114,2,-1,0,,no
51,blue-collar,married,,no,1883,yes,no,cellular,5,may,57,1,-1,0,,no
60,retired,divorced,secondary,no,216,yes,no,cellular,5,may,238,1,-1,0,,no
52,blue-collar,married,secondary,no,782,yes,no,cellular,5,may,93,3,-1,0,,no
48,blue-collar,married,secondary,no,904,yes,no,cellular,5,may,128,2,-1,0,,no
48,services,married,,no,1705,yes,no,cellular,5,may,107,1,-1,0,,no
39,technician,single,tertiary,no,47,yes,no,cellular,5,may,181,1,-1,0,,no
47,services,single,secondary,no,176,yes,no,cellular,5,may,303,2,-1,0,,no
40,blue-collar,married,secondary,no,1225,yes,no,cellular,5,may,558,5,-1,0,,no
45,technician,married,secondary,no,86,yes,no,cellular,5,may,270,1,-1,0,,no
26,admin.,single,secondary,no,82,yes,no,cellular,5,may,228,1,-1,0,,no
52,management,married,tertiary,no,271,yes,no,cellular,5,may,99,1,-1,0,,no
54,technician,married,secondary,no,1378,yes,no,cellular,5,may,240,1,-1,0,,no
50,blue-collar,married,primary,no,0,no,no,cellular,5,may,233,3,-1,0,,no
35,blue-collar,married,secondary,no,0,yes,no,cellular,5,may,1056,1,-1,0,,no
44,services,married,secondary,no,1357,yes,yes,cellular,5,may,250,1,-1,0,,no
53,entrepreneur,married,,no,19,yes,no,cellular,5,may,252,1,-1,0,,no
35,retired,single,primary,no,434,no,no,cellular,5,may,138,1,-1,0,,no
60,admin.,divorced,secondary,no,92,yes,no,cellular,5,may,130,1,-1,0,,no
53,admin.,divorced,secondary,no,1151,yes,no,cellular,5,may,412,1,-1,0,,no
48,unemployed,married,secondary,no,41,yes,no,cellular,5,may,179,2,-1,0,,no
34,technician,married,secondary,no,51,yes,no,cellular,5,may,19,2,-1,0,,no
54,services,married,secondary,no,214,yes,no,cellular,5,December,458,2,-1,0,,no
51,management,married,secondary,no,1161,yes,no,cellular,5,December,717,1,-1,0,,no
31,services,married,tertiary,no,37,yes,no,cellular,5,December,313,1,-1,0,,no
35,technician,divorced,secondary,no,787,yes,no,cellular,5,December,683,2,-1,0,,no
35,services,married,secondary,no,59,yes,no,cellular,5,December,1077,1,-1,0,,no
38,technician,married,secondary,no,253,yes,no,cellular,5,December,416,1,-1,0,,no
36,admin.,married,tertiary,no,211,yes,no,cellular,5,December,146,2,-1,0,,no
58,retired,married,primary,no,235,yes,no,cellular,5,December,167,1,-1,0,,no
40,services,divorced,,no,4384,yes,no,cellular,5,December,315,1,-1,0,,no
54,management,married,secondary,no,4080,no,no,cellular,5,December,140,1,-1,0,,no
34,blue-collar,single,secondary,no,53,yes,yes,cellular,5,December,346,1,-1,0,,no
31,management,single,tertiary,no,0,yes,no,cellular,5,December,562,1,-1,0,,no
51,retired,married,secondary,no,2127,yes,no,cellular,5,December,172,1,-1,0,,no
33,management,married,tertiary,no,377,yes,no,cellular,5,December,217,1,-1,0,,no
55,management,married,tertiary,no,73,yes,no,cellular,5,December,142,2,-1,0,,no
42,admin.,married,secondary,no,445,yes,no,cellular,5,December,67,1,-1,0,,no
34,blue-collar,married,secondary,no,243,yes,no,cellular,5,December,291,1,-1,0,,no
33,blue-collar,single,secondary,no,307,yes,no,cellular,5,December,309,2,-1,0,,no
38,services,married,secondary,no,155,yes,no,cellular,5,December,248,1,-1,0,,no
50,technician,divorced,tertiary,no,173,no,yes,cellular,5,December,98,1,-1,0,,no
43,management,married,tertiary,no,400,yes,no,cellular,5,December,256,1,-1,0,,no
61,blue-collar,divorced,primary,no,1428,yes,no,cellular,5,December,82,2,-1,0,,no
47,admin.,married,secondary,no,219,yes,no,cellular,5,December,577,1,-1,0,,no
48,self-employed,married,tertiary,no,7,yes,no,cellular,5,December,286,1,-1,0,,no
44,blue-collar,married,secondary,no,575,yes,no,cellular,5,December,477,1,-1,0,,no
35,student,single,,no,298,yes,no,cellular,5,December,611,2,-1,0,,no
35,services,married,secondary,no,0,yes,no,cellular,5,December,471,1,-1,0,,no
50,services,married,secondary,no,5699,yes,no,cellular,5,December,381,2,-1,0,,no
41,management,married,tertiary,no,176,yes,yes,cellular,5,December,42,1,-1,0,,no
41,management,married,tertiary,no,517,yes,no,cellular,5,December,251,1,-1,0,,no
39,services,single,,no,257,yes,no,cellular,5,December,408,1,-1,0,,no
42,retired,married,secondary,no,56,yes,no,cellular,5,December,215,1,-1,0,,no
38,blue-collar,married,secondary,no,-390,yes,no,cellular,5,December,287,1,-1,0,,no
53,retired,married,secondary,no,330,yes,no,cellular,5,December,216,2,-1,0,,no
59,housemaid,divorced,primary,no,195,no,no,cellular,5,December,366,2,-1,0,,no
36,services,married,secondary,no,301,yes,no,cellular,5,December,210,1,-1,0,,no
54,blue-collar,married,primary,no,-41,yes,no,cellular,5,December,288,1,-1,0,,no
40,technician,married,tertiary,no,483,yes,no,cellular,5,December,168,1,-1,0,,no
47,,married,,no,28,no,no,cellular,5,December,338,2,-1,0,,no
53,unemployed,married,,no,13,no,no,cellular,5,December,410,3,-1,0,,no
46,housemaid,married,primary,no,965,no,no,cellular,5,December,177,1,-1,0,,no
39,management,married,tertiary,no,378,yes,yes,cellular,5,December,127,2,-1,0,,no
40,unemployed,married,secondary,no,219,yes,no,cellular,5,December,357,1,-1,0,,no
28,blue-collar,married,primary,no,324,yes,no,cellular,5,December,175,1,-1,0,,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,cellular,5,December,300,1,-1,0,,no
55,retired,married,secondary,no,0,no,yes,cellular,5,December,136,1,-1,0,,no
43,technician,divorced,,no,205,yes,no,cellular,5,December,1419,1,-1,0,,no
48,blue-collar,married,primary,no,278,yes,no,cellular,5,December,125,2,-1,0,,no
58,management,married,,no,1065,yes,no,cellular,5,December,213,3,-1,0,,no
33,management,single,tertiary,no,34,yes,no,cellular,5,December,27,1,-1,0,,no
36,blue-collar,married,,no,1033,no,no,cellular,5,December,238,2,-1,0,,no
53,services,divorced,secondary,no,1467,yes,no,cellular,5,December,124,1,-1,0,,no
47,blue-collar,married,primary,no,-12,yes,no,cellular,5,December,18,1,-1,0,,no
31,services,married,secondary,no,388,yes,no,cellular,5,December,730,2,-1,0,,no
57,entrepreneur,married,secondary,no,294,yes,no,cellular,5,December,746,2,-1,0,,no
53,blue-collar,married,,no,1827,no,no,cellular,5,December,121,1,-1,0,,no
55,blue-collar,married,primary,no,627,yes,no,cellular,5,December,247,1,-1,0,,no
45,blue-collar,married,primary,no,25,yes,no,cellular,5,December,40,1,-1,0,,no
53,admin.,divorced,secondary,no,315,yes,no,cellular,5,December,181,2,-1,0,,no
37,blue-collar,married,primary,no,0,yes,no,cellular,5,December,79,1,-1,0,,no
44,admin.,divorced,secondary,no,66,yes,no,cellular,5,December,206,1,-1,0,,no
49,blue-collar,divorced,primary,no,-9,yes,yes,cellular,5,December,389,1,-1,0,,no
46,technician,married,secondary,no,349,yes,yes,cellular,5,December,127,1,-1,0,,no
43,entrepreneur,married,,no,100,yes,no,cellular,5,December,702,1,-1,0,,no
38,admin.,married,secondary,no,0,no,no,cellular,5,December,151,1,-1,0,,no
43,technician,married,secondary,no,434,yes,no,cellular,5,December,117,1,-1,0,,no
49,management,married,tertiary,no,3237,yes,no,cellular,5,December,232,3,-1,0,,no
42,management,married,,no,275,no,no,cellular,5,December,408,2,-1,0,,no
22,blue-collar,single,secondary,no,0,yes,no,cellular,5,December,179,2,-1,0,,no
40,management,married,tertiary,no,207,yes,no,cellular,5,December,39,1,-1,0,,no
39,blue-collar,married,secondary,no,483,yes,no,cellular,5,December,282,1,-1,0,,no
51,services,married,secondary,no,2248,yes,no,cellular,5,December,714,2,-1,0,,no
49,admin.,married,secondary,no,428,yes,no,cellular,5,December,50,1,-1,0,,no
53,blue-collar,married,secondary,no,0,yes,yes,cellular,5,December,181,1,-1,0,,no
34,services,single,secondary,no,0,yes,no,cellular,5,December,142,1,-1,0,,no
33,technician,divorced,secondary,no,140,yes,no,cellular,5,December,227,1,-1,0,,no
50,management,single,tertiary,no,297,yes,no,cellular,5,December,119,1,-1,0,,no
39,blue-collar,married,primary,no,279,yes,no,cellular,5,December,361,1,-1,0,,no
59,entrepreneur,divorced,secondary,no,901,yes,no,cellular,5,December,73,3,-1,0,,no
30,technician,single,secondary,no,2573,yes,no,cellular,5,December,67,2,-1,0,,no
36,services,married,secondary,no,143,yes,yes,cellular,5,December,350,1,-1,0,,no
40,blue-collar,married,secondary,no,475,yes,no,cellular,5,December,332,2,-1,0,,no
53,blue-collar,married,secondary,no,70,yes,no,cellular,5,December,611,2,-1,0,,no
34,management,single,tertiary,no,318,yes,no,cellular,5,December,113,2,-1,0,,no
37,technician,married,secondary,no,275,yes,no,cellular,5,December,132,1,-1,0,,no
42,management,divorced,tertiary,no,742,yes,no,cellular,5,December,58,3,-1,0,,no
41,entrepreneur,married,primary,no,236,yes,no,cellular,5,December,151,1,-1,0,,no
30,student,single,tertiary,no,25,yes,no,cellular,5,December,89,2,-1,0,,no
37,management,single,tertiary,no,600,yes,no,cellular,5,December,152,1,-1,0,,no
39,admin.,divorced,secondary,no,-349,yes,no,cellular,5,December,611,2,-1,0,,no
41,blue-collar,married,primary,no,183,yes,yes,cellular,5,December,110,2,-1,0,,no
40,blue-collar,married,primary,no,0,yes,no,cellular,5,December,463,1,-1,0,,no
40,blue-collar,divorced,primary,no,0,yes,no,cellular,5,December,962,1,-1,0,,no
57,technician,married,secondary,no,1078,yes,no,cellular,5,December,10,4,-1,0,,no
56,entrepreneur,divorced,secondary,no,155,no,no,cellular,5,December,118,3,-1,0,,no
37,admin.,married,secondary,no,190,yes,no,cellular,5,December,92,2,-1,0,,no
59,retired,married,secondary,no,319,yes,no,cellular,5,December,143,3,-1,0,,no
39,services,divorced,secondary,no,-185,yes,no,cellular,5,December,189,3,-1,0,,no
49,services,married,secondary,no,47,no,no,cellular,5,December,234,2,-1,0,,no
38,services,single,secondary,no,570,yes,no,cellular,5,December,75,2,-1,0,,no
36,self-employed,married,tertiary,no,19,no,no,cellular,5,December,189,2,-1,0,,no
50,blue-collar,married,primary,no,61,yes,no,cellular,5,December,621,3,-1,0,,no
41,admin.,married,secondary,no,-62,yes,yes,cellular,5,December,55,2,-1,0,,no
54,technician,married,tertiary,no,258,no,no,cellular,5,December,310,4,-1,0,,no
58,blue-collar,married,primary,no,76,yes,no,cellular,5,December,156,2,-1,0,,no
30,blue-collar,single,secondary,no,0,yes,no,cellular,5,December,5,2,-1,0,,no
33,admin.,single,secondary,no,352,yes,no,cellular,5,December,225,2,-1,0,,no
47,admin.,married,secondary,no,368,yes,no,cellular,5,December,125,2,-1,0,,no
50,technician,single,tertiary,no,339,yes,no,cellular,5,December,2,3,-1,0,,no
32,blue-collar,married,secondary,no,1331,yes,no,cellular,5,December,286,2,-1,0,,no
40,self-employed,married,secondary,no,672,yes,no,cellular,5,December,164,2,-1,0,,no
37,management,married,tertiary,no,58,yes,no,cellular,5,December,98,2,-1,0,,no
54,technician,single,,no,447,yes,no,cellular,5,December,742,2,-1,0,,no
24,student,single,secondary,no,423,yes,no,cellular,5,December,226,3,-1,0,,no
54,management,married,tertiary,no,0,no,no,cellular,5,December,120,2,-1,0,,no
34,technician,married,secondary,no,19,yes,no,cellular,5,December,362,4,-1,0,,no
56,technician,divorced,primary,no,13,yes,no,cellular,5,December,357,2,-1,0,,no
31,blue-collar,single,secondary,no,3,yes,no,cellular,5,December,200,2,-1,0,,no
24,student,single,secondary,no,82,yes,no,cellular,5,December,204,2,-1,0,,no
42,blue-collar,divorced,primary,no,28,yes,no,cellular,5,December,126,3,-1,0,,no
57,technician,married,secondary,no,792,yes,no,cellular,5,December,65,2,-1,0,,no
42,blue-collar,married,,no,408,yes,no,cellular,5,December,107,2,-1,0,,no
51,admin.,married,secondary,no,531,yes,no,cellular,5,December,267,2,-1,0,,no
57,retired,married,secondary,no,211,yes,no,cellular,5,December,248,2,-1,0,,no
36,services,single,secondary,no,62,yes,no,cellular,5,December,215,2,-1,0,,no
53,services,married,,no,257,yes,no,cellular,5,December,209,2,-1,0,,no
50,technician,married,secondary,no,1234,yes,no,cellular,5,December,205,2,-1,0,,no
54,management,married,tertiary,no,313,yes,no,cellular,5,December,83,2,-1,0,,no
55,blue-collar,married,secondary,no,89,yes,no,cellular,5,December,106,3,-1,0,,no
44,blue-collar,married,secondary,no,129,yes,yes,cellular,5,December,189,2,-1,0,,no
43,management,married,,no,0,yes,no,cellular,5,December,105,2,-1,0,,no
56,admin.,married,secondary,no,353,yes,no,cellular,5,December,106,2,-1,0,,no
54,technician,married,,no,851,yes,no,cellular,5,December,108,2,-1,0,,no
55,services,divorced,primary,no,96,yes,yes,cellular,5,December,311,2,-1,0,,no
37,services,divorced,secondary,no,398,yes,yes,cellular,5,December,214,2,-1,0,,no
33,admin.,single,tertiary,no,193,no,no,cellular,5,December,132,2,-1,0,,no
46,admin.,married,secondary,no,-358,yes,no,cellular,5,December,358,2,-1,0,,no
36,blue-collar,married,secondary,no,539,yes,yes,cellular,5,December,453,2,-1,0,,no
51,technician,single,secondary,no,0,yes,no,cellular,5,December,364,2,-1,0,,no
40,retired,single,primary,no,0,no,no,cellular,5,December,136,2,-1,0,,no
42,blue-collar,married,secondary,no,490,yes,no,cellular,5,December,386,2,-1,0,,no
51,blue-collar,married,secondary,no,0,yes,no,cellular,5,December,173,2,-1,0,,no
49,blue-collar,married,,no,403,yes,no,cellular,5,December,241,2,-1,0,,no
48,management,married,secondary,no,161,yes,no,cellular,5,December,224,3,-1,0,,no
32,technician,divorced,tertiary,no,2558,no,no,cellular,5,December,148,2,-1,0,,no
31,admin.,single,secondary,no,98,yes,no,cellular,5,December,196,2,-1,0,,no
55,management,single,tertiary,no,115,no,no,cellular,5,December,111,4,-1,0,,no
40,blue-collar,single,secondary,no,436,yes,no,cellular,5,December,231,3,-1,0,,no
47,technician,married,tertiary,no,831,yes,no,cellular,5,may,316,3,-1,0,,no
57,technician,married,,no,206,yes,no,cellular,5,may,216,3,-1,0,,no
41,blue-collar,married,secondary,no,290,yes,no,cellular,5,may,240,2,-1,0,,no
48,blue-collar,married,secondary,no,1,no,no,cellular,5,may,669,3,-1,0,,no
42,blue-collar,married,,no,57,yes,no,cellular,5,may,425,2,-1,0,,no
30,blue-collar,single,secondary,no,-457,yes,no,cellular,5,may,143,2,-1,0,,no
58,management,single,tertiary,no,1387,yes,no,cellular,5,may,174,5,-1,0,,no
45,management,divorced,tertiary,no,24598,yes,no,cellular,5,may,313,3,-1,0,,no
49,blue-collar,married,secondary,no,30,yes,no,cellular,5,may,135,4,-1,0,,no
42,admin.,single,secondary,no,1022,yes,no,cellular,5,may,146,2,-1,0,,no
53,technician,married,secondary,no,56,yes,yes,cellular,5,may,152,2,-1,0,,no
51,admin.,single,secondary,yes,-2,no,no,cellular,5,may,402,3,-1,0,,no
32,services,single,secondary,no,121,yes,no,cellular,5,may,213,2,-1,0,,no
41,blue-collar,single,secondary,no,842,yes,no,cellular,5,may,144,3,-1,0,,no
43,management,divorced,secondary,no,693,yes,no,cellular,5,may,124,3,-1,0,,no
40,blue-collar,divorced,secondary,no,-333,yes,no,cellular,5,may,183,2,-1,0,,no
50,blue-collar,married,primary,no,1533,yes,no,cellular,5,may,325,2,-1,0,,no
